# Bengali Bi-gram Next-Word Dataset (Antecedent -> Predicted Next Words)
অ	রিলেশনাল,বিভাগীয়,বিষাক্ত,চৌম্বকীয়,আ
অঁচল	হইতে
অঁচলের	ক্ষুদ্র,অধিবাসী
অঁতোয়ান	লাভোয়াজিয়ে
অঁদ্রে	বাজাঁ,মালরো
অঁরি	বেক্যরেল,বেকেরেলের,পোয়াঁকারের
অংকিত	ছবি,রেখা
অংশ	হিসাবে,হিসেবে,এবং,হয়ে,যা
অংশই	তড়িচ্চৌম্বক,ক্রান্তীয়,মিলানের,বরফ,নিজের
অংশও	তৈরি,হতে
অংশকে	বোঝায়,প্রতিনিধিত্ব,কভার,উপস্থাপন,আলাদা
অংশগুলি	সনাক্ত,চিহ্নিত,অন্তর্ভুক্ত,রয়েছে,একত্রিত
অংশগুলিকে	তাদের,একটি,জীবিত,সুপারিশ,মিশ্রিত
অংশগুলিতে	পৌঁছানোর,নিম্নলিখিত,শ্রেণীবদ্ধ,ফোকাস,মনোনিবেশ
অংশগুলির	মধ্যে,জন্য,থেকে,প্রতিটি,যোগফল
অংশগুলো	প্রদত্ত,ব্যাখ্যা,বেলজিয়ামে,কম,থাকে
অংশগুলোকে	সঠিক,প্রসারিত,রক্ষা,নির্বাহ
অংশগুলোর	মধ্যে,সাথে
অংশগ্রহণ	করে,করতে,করেন,করা,করার
অংশগ্রহণকারী	ইঙ্গিত,বা,পর্যবেক্ষণ,শিক্ষার্থীর,খুচরা
অংশগ্রহণকারীকে	একটি,নিজেদের
অংশগ্রহণকারীদের	মধ্যে,তাদের,একটি,জন্য,দ্বারা
অংশগ্রহণকারীর	ব্লকচেইনের,একটি,বয়স,কাছ,জন্য
অংশগ্রহণকারীরা	তাদের,বাড়িতে,জড়িত,সমীক্ষার,চিকিত্সা
অংশগ্রহণকে	উত্সাহিত,উৎসাহিত,আরও,অগ্রাধিকার,বোঝায়
অংশগ্রহণমূলক	আকারে,ব্যবহার,প্রক্রিয়া,ডিজাইনের
অংশগ্রহণে	সাধারণ,উত্সাহিত,একাধিক,অবাক,মুখরিত
অংশগ্রহণের	জন্য,উপর,মাধ্যমে,সুযোগ,অনুমতি
অংশটি	হল,একটি,মসৃণ,কেটে,লিখুন
অংশটিকে	সংক্ষিপ্ত,কেন্দ্রের,আরও,বলা,সাধারণত
অংশটিতে	একটি,এই,কার্যকর
অংশটুকুই	যমুনা,কেবল
অংশদুটিকে	যোগ,সংযোগকারী
অংশবিশেষ	হিসেবে,যা,বিজয়,যান্ত্রিক,সামুদ্রিক
অংশবিশেষে	রক্তাল্পতা,বসবাস
অংশবিশেষের	অনুবাদ,সাথে,সমন্বয়,সমন্বয়ে,উপর
অংশভাগ	করা
অংশরূপে	সংযুক্ত
অংশসমূহ	করা,ঘূর্ণনশীল,একটির
অংশী	হত্তয়া
অংশীদার	হন,এবং,খুঁজুন,হয়,বা
অংশীদারত্ব	গঠন,মাঝারি
অংশীদারত্বের	ভিত্তিতে,মাত্রা,মধ্যে,পক্ষপাতী,মালিক
অংশীদারদের	সাথে,জন্য,দ্বারা,কাছ,একে
অংশীদারযোগ্য	উপাত্ত,করা
অংশীদাররা	তাদের,এই,ব্যবসায়িক,ব্যবসা,ব্যবস্থাপনায়
অংশীদারি	মডেল,করুন,করতে,কিনেছিল,নীতি
অংশীদারিত্ব	এবং,করে,ব্যবহার,গঠন,বাড়াতে
অংশীদারিত্বগুলি	প্রদর্শন,স্থানীয়
অংশীদারিত্বে	তৈরি,প্রবেশের,বিকশিত,আউটডোর,প্রবেশকারী
অংশীদারিত্বের	মাধ্যমে,প্রকৃতি,দীর্ঘ,অর্থ,জন্য
অংশীদারী	ধারণাব্যবস্থার,ব্র্যান্ডের,প্রতিষ্ঠানগুলিকে,মাঝারি,প্রতিষ্ঠান
অংশীদারের	কাছে,ক্ষতির
অংশে	বিভক্ত,ভাগ,পরিণত,একটি,অবস্থিত
অংশেই	অবশ্য,প্রধানত
অংশেও	একইরকম,ব্যাপকভাবে,বিস্তার
অংশের	জন্য,সাথে,আকার,মধ্যে,দৈর্ঘ্য
অই	নির্দিষ্ট,কোম্পানিতে,ফোল্ডারের,বিজ্ঞপ্ত,এসের
অকপট	ছবির,সাক্ষাত্কারে,হবে
অকপটে	ব্যক্ত
অকর্মণ্য	লোক,ব্যক্তি
অকল্পনীয়	ছিল,কষ্টের,স্থানে,চ্যালেঞ্জের,শক্তির
অকস্মাৎ	ধরা,জ্বলিয়া
অকাট্য	প্রমাণ,সত্য
অকার্যকর	সংযোগ,ক্রিয়া,চিকিত্সার,করা,হিসাবে
অকাল	মৃত্যুর,মৃত্যু,মৃত্যুতে,বার্ধক্য,জন্মের
অকালপ্রসূত	নবজাতক
অকালে	মারা,মৃত্যুমুখে,ঝরে
অকিঞ্চিত্কর	করে
অকিঞ্চিৎকর	বই
অকুতোভয়	ব্যক্তি
অকৃতকার্য	হলে,হয়নি,হলেও
অকৃত্রিম	বন্ধন,এবং,বন্ধু
অকেজো	করে,হয়ে,করা,হতে
অক্টাভিয়ান	খ্রী,অদমনীয়
অক্টাল	সংখ্যা,সংখ্যায়,সমতুল্য,উপস্থাপনা,অথবা
অক্টালে	রূপান্তর
অক্টেট	গঠন,নিয়ম,এবং,নিয়ে,দিয়ে
অক্টেভিয়ানের	বিজয়ের,পর
অক্টেভের	মধ্যে
অক্টোপাস	একটি,সহ,কাঁচের,বল,কার্ড
অক্টোপাসের	চেহারা,ত্বক,কিছু,একটি
অক্টোবর	সালে,মাসে,পর্যন্ত,থেকে,তারিখে
অক্টোবরে	প্রকাশিত,নতুন,ঘটেছিল,সঞ্চালিত,একটি
অক্টোবরের	শেষের,মধ্যে,গ্রেগরিয়ান,জন্য,দিকে
অক্রমণ	করে,করেন
অক্রিয়	যন্ত্রগুলি,ব্যবস্থাতে
অক্লান্ত	পরিশ্রম,পরিশ্রমের,গতি,প্রচেষ্টা,নিষ্ঠার
অক্লান্তভাবে	প্রস্তুতি,লড়াই,প্রশিক্ষণ
অক্ষ	এবং,শক্তির,সহ,বরাবর,ডিগ্রি
অক্ষকে	ছেদ,অতিক্রম,কেন্দ্র
অক্ষটি	বিভিন্ন,প্রতিটি,মূল্যকে,চাহিদার,বছরগুলিকে
অক্ষত	অবস্থায়,রেখে,আছে,রাখার,থাকে
অক্ষদণ্ডের	চারদিকে,ব্যাসার্ধের,জন্য
অক্ষম	করা,হন,হয়,ছিলেন,ছিল
অক্ষমতা	বা,সহ,এবং,রয়েছে,নিয়ে
অক্ষমতাকে	বোঝায়,ক্ষমতায়
অক্ষমতাজনিত	কারণে
অক্ষমতার	কারণে,জন্য,মধ্যে,প্রতিনিধিত্ব,দিকে
অক্ষর	এবং,দিয়ে,ব্যবহার,দীর্ঘ,রয়েছে
অক্ষরকে	ছোট,প্রতিনিধিত্ব,একটি,অনুমতি,ভিন্ন
অক্ষরগুলি	পুনরায়,সরিয়ে,আলাদা,একটি,শব্দের
অক্ষরগুলিকে	পুনর্বিন্যাস,বর্ণানুক্রমিক,একত্রিত,অন্তর্ভুক্ত,আরোহী
অক্ষরগুলিতে	দ্রুত,চলে
অক্ষরগুলির	একটি,সাথে,সাজানো,তুলনা,মধ্যে
অক্ষরটি	ইতিমধ্যেই,একটি,শুধুমাত্র,বড়,উপস্থিত
অক্ষরটিকে	একটি,নতুন
অক্ষরটির	অস্তিত্ব,উপস্থিতির
অক্ষরবিশিষ্ট	পদ
অক্ষরে	রূপান্তর,লেখা,নিম্নলিখিত,একটি
অক্ষরের	একটি,জন্য,মধ্যে,সাথে,সংখ্যা
অক্ষশক্তির	নিয়ন্ত্রণাধীন,সাথে
অক্ষীয়	ঢালের,কাত,ঢাল,ঘূর্ণন,কাতকে
অক্ষুণ্ণ	রাখা,থাকে,রাখতে,রেখেছিল,রয়েছে
অক্ষুণ্ন	রেখে,রাখতে,থাকত
অক্ষে	এবং,তালিকাভুক্ত,প্রতি,প্রদত্ত,সংশ্লিষ্ট
অক্ষের	কাত,সাপেক্ষে,উপর,সাথে,দিকে
অক্ষয়	তৃতীয়া,নয়,এবং,বিশ্বের,শব্দের
অক্ষয়কুমার	দত্তের,দত্ত
অক্সফোর্ড	বিশ্ববিদ্যালয়ের,বিশ্ববিদ্যালয়,ইউনিভার্সিটির,ইউনিভার্সিটি,বিশ্ববিদ্যালয়ে
অক্সফোর্ডে	জন্মগ্রহণ,পড়াকালীন,অবস্থিত,ক্লেয়ারেন্ডন,অপেক্ষাকৃত
অক্সফোর্ডের	হার্টফোর্ড,ওল্ফসন,একজন,কেবল,মের্টন
অক্সব্রিজ	এবং,কলেজের
অক্সাইড	এবং,শোষণ,উৎপন্ন,গ্যাস,নির্গত
অক্সাইডকে	গ্লুকোজে,গ্লুকোজ,জৈব,শক্তিতে,অক্সিজেন
অক্সাইডে	ভেঙে,পরিপূর্ণ
অক্সাইডের	মাত্রা,মতো,পরিমাণ,আণবিক,সাথে
অক্সিজেন	এবং,ছেড়ে,সরবরাহ,স্বল্পতা,তৈরি
অক্সিজেনও	তৈরি,উত্পাদন,সরবরাহ
অক্সিজেনকে	মুক্ত,ছড়িয়ে,সারা,বিক্রিয়াক
অক্সিজেনযুক্ত	রক্ত,হওয়ার
অক্সিজেনে	রূপান্তর,রূপান্তরিত
অক্সিজেনের	প্রয়োজন,মাত্রার,মাত্রা,উপর,সাথে
অক্সিটোসিন	হরমোন,ট্রিগার,এবং,শিশুর,নালিকাতন্ত্রে
অক্সিটোসিনের	মুক্তির,প্রভাবে
অক্সিডেটিভ	স্ট্রেস,ড্যামেজ
অক্সিমোরন	হল,শব্দটি,আছে,নেই
অখণ্ড	সংখ্যা,বনভূমি,অংশে
অখণ্ডতা	এবং,বজায়,প্রদান,নিশ্চিত,রক্ষার
অখণ্ডতার	জন্য,সাথে
অখাদ্য	অংশ,এবং,বস্তু
অখুশি	করা
অগণতান্ত্রিক	ব্যবস্থা,হিসেবে
অগণিত	ঘন্টা,জীবন,প্রজাতির,সুবিধা,সুযোগ
অগত্যা	সত্য,ভুল,জড়িত,অবহিত,মানুষের
অগভীর	নিউরাল,অনুলিপি,থালায়,সমুদ্র,করা
অগমেন্টেড	রিয়েলিটি,এবং,রিয়েলিটির,রিয়ালিটি
অগমেন্টেশন	হল,ব্যবহার,একটি
অগস্টো	মেরিনোনির,মেরিনোনি
অগাস্ট	কেকুলে,রেনোয়ারের,ভন,নামের,রডিন
অগাস্টাস	ওয়াটার্সের,নামে,নাম,ওয়াল্টার্সের,হ্যাজেলকে
অগাস্টাসের	দ্রুত,ক্যান্সার,অসুস্থতা,মৃত্যু
অগাস্টিয়ান	কেনন
অগোচরে	সম্পূর্ণ,পৃথিবী,ছিল
অগোছালো	এবং,করে,ঘর,হবে,ডেটা
অগ্নি	নির্বাপক,ও,উপাদানের,নির্বাপনের,বিভাগকে
অগ্নিকাণ্ড	অনুপস্থিত,এবং,ঘটেছে,ঘটানো,ব্যতিরেকে
অগ্নিকাণ্ডের	কারণে,কারণ,ফলে,পরিণতি,ঘটনা
অগ্নিকুণ্ড	সহ,থাকতে
অগ্নিতে	আত্মাহুতি,ভস্মীভূত
অগ্নিনির্বাপক	যন্ত্রটি,কর্মীরা,ব্যবস্থা,যন্ত্রে
অগ্নিশিখা	যা,এবং,বা,শীর্ষক
অগ্নিসংযোগের	জন্য,হাত,ফলে,ঘটনায়,পদ্ধতি
অগ্নিসহ	মৃত্তিকা,ইষ্টক
অগ্নিয়গিরিজাত	শিলাসংক্রান্ত,শিলা
অগ্নুৎপাতের	মতো,পরে
অগ্ন্যাশয়	ক্যান্সার,হজম,দ্বারা,মেরুদণ্ডী,নালী
অগ্ন্যাশয়ের	দৈর্ঘ্য,অন্তঃক্ষরা,কোন
অগ্ন্যুৎপাত	এবং,প্রায়,আসন্ন,শেষ,তাদের
অগ্ন্যুৎপাতের	জন্য,মতো,ঘটনা
অগ্রগণ্য	অঞ্চল,বিষয়
অগ্রগতি	এবং,ট্র্যাক,নিরীক্ষণ,সম্পর্কে,নিয়ে
অগ্রগতিকে	চালিত,উত্সাহিত,রূপদানকারী,বাধাগ্রস্ত
অগ্রগতিগুলি	কী,নতুন,অটোমেশনের,ব্যবহার,ভোক্তাদের
অগ্রগতিগুলির	সাথে,মধ্যে
অগ্রগতিতে	একটি,সহায়তা,বাধা,অবদান,নতুন
অগ্রগতির	সাথে,জন্য,দিকে,একটি,সুযোগ
অগ্রগামী	হত্তয়া,বিমানচালক,গবেষণার,পরিকল্পনা,হিসাবে
অগ্রণী	ভূমিকা,গবেষণা,অগ্রগতি,শব্দটি,বা
অগ্রদত্ত	টাকা
অগ্রদূত	হিসেবে,ছিল,ছিলেন
অগ্রদূতদের	মধ্যে,দ্বারা
অগ্রনী	ভুমিকা
অগ্রবর্তী	হত্তয়া,মাস্তুলের,তথাপি,দলের
অগ্রভাগ	থেকে,সহ,ছাঁটিয়া
অগ্রভাগে	থাকতে,রয়েছে,থাকার,তার,সাইপ্রাস
অগ্রভাগের	টেক্সচার,সাথে
অগ্রযাত্রা	শুরু,উৎপাদন
অগ্রসর	হয়,হতে,হওয়ার,হচ্ছে,হন
অগ্রসরতা	ও,এবং,সম্পর্কে
অগ্রাধিকার	দিন,দিতে,দেওয়া,দেয়,দেওয়ার
অগ্রাধিকারগুলি	সংজ্ঞায়িত,সামঞ্জস্য,কী,স্পষ্ট,নির্ধারণ
অগ্রাধিকারগুলিকে	আরও,পরিবর্তন
অগ্রাধিকারভিত্তিক	মাধ্যমিক
অগ্রাধিকারমূলক	কাজগুলিতে,কাজ
অগ্রাধিকারে	অগ্রাধিকারের,পরিবর্তন,পরিণত
অগ্রাধিকারের	উপর,পরিবর্তনের,ক্রমে,বিষয়গুলো,সাথে
অগ্রাহ্য	করা,করতে,করার,করে,করবে
অগ্রিম	খরচ,বিনিয়োগের,বিনিয়োগ,খরচের,নোটিশ
অগ্রে	বলিয়া,ঠেলিয়া,স্থাপন,যুক্ত
অঘোষ	ব্যঁজনবর্ণ
অঙ্ক	এবং,হিসেবে,অক্ষরের,থেকে,চেনার
অঙ্কগুলি	সনাক্ত,বিপরীত,চিনতে
অঙ্কগুলিকে	শ্রেণীবদ্ধ,স্বীকৃতি,সঠিকভাবে
অঙ্কগুলির	একটি,যোগফল
অঙ্কটি	নিন,সরান,নেওয়ার,সরিয়ে,কোন
অঙ্কণ	করা,শেখানো
অঙ্কন	তৈরি,করে,করার,করা,এবং
অঙ্কনকে	আরও,অনুমতি
অঙ্কনগুলো	হ্ত,অঙ্কন
অঙ্কনশিল্পী	হলেন,ছিলেন,তাদের,ডিলস,হোজো
অঙ্কনে	বাড়াবাড়ি,কাটিয়ে,উদ্বুদ্ধ,ব্যবহৃত
অঙ্কনের	মাধ্যমে,জন্য,সংকলন,ক্ষেত্রেও,রীতি
অঙ্কিত	করা,চিত্রের,ভাটি,করেন,একটি
অঙ্কুর	বিকাশ,গঠনের,এবং,দিয়ে
অঙ্কুরিত	হতে,হয়,না,দুটি,বীজের
অঙ্কুরে	সাধারণত,বিনাশ
অঙ্কুরোদগমের	উপর,জন্য
অঙ্কে	কষা,রূপান্তর,ভাঙ্গা,সাধারণত,বিএসসি
অঙ্কের	যোগফল,সংখ্যা,সাথে,টাকা,যোগফলের
অঙ্গ	দান,এবং,যা,থাকে,রয়েছে
অঙ্গকে	বোঝায়,প্রভাবিত
অঙ্গগুলি	হল,থেকে,সাধারণত,একটি,দর্শনের
অঙ্গগুলিকে	আবৃত,সমর্থন
অঙ্গগুলিতে	বার্তা,অক্সিজেন,রক্ত
অঙ্গগুলির	জন্য,ক্ষতি,বৈশিষ্ট্য,শেষে,গঠনকে
অঙ্গচ্ছেদ	করা,এবং,অপসারণ
অঙ্গনে	মৃত্যুর,প্রতিযোগিতামূলক,বেতার,এক,ছড়িয়ে
অঙ্গবিন্যাস	এবং,অনুশীলন
অঙ্গব্যবচ্ছেদ	করা,পরীক্ষাদি
অঙ্গভঙ্গি	ব্যবহার,করা,এবং,চিহ্ন,করে
অঙ্গভঙ্গিটি	আপনাকে,খরগোশের
অঙ্গভঙ্গির	মাধ্যমে,দ্বারা,প্রতিক্রিয়া,একটি
অঙ্গরাজ্য	পশ্চিমবঙ্গের,অন্ধ্র,ছিল,এর,এবং
অঙ্গরাজ্যের	বোস্টনে,ফিলাডেলফিয়া,ডেট্রয়েটে,জন্য,হিন্সডেল
অঙ্গাঙ্গীভাবে	জড়িত
অঙ্গারক	দ্বারা
অঙ্গারকের	সহিত
অঙ্গারে	পরিণত,পরিণতি
অঙ্গীকার	প্রদর্শন,করা,করে,করি,করছি
অঙ্গীকারাবদ্ধ	হয়,থেকেই
অঙ্গীকারের	জন্য,সাথে
অঙ্গুলিনির্দেশ	করা,করে
অঙ্গুলির	নিয়মের,দাগ,ছাপ
অঙ্গুষ্ঠ	রয়েছে
অঙ্গে	লেপন,বসেছিল,বা
অঙ্গের	উপর,কর্মহীনতা,ক্ষতি,সাথে,কার্যকারিতা
অচঞ্চল	অবস্থা
অচল	হয়ে,থাকত,হইয়া,অবস্থা,করতে
অচলাবস্থার	মধ্যে,প্রেক্ষিতে,পর,মুখে
অচলাবস্থায়	আছি,পৌঁছায়
অচিন্তিত	রচনা
অচিরেই	গ্রামটা,পদক্ষেপ,নতুন,তিনি,মুজিবের
অচিহ্নিত	ধর্ষক,ও,রয়েছে
অচেতন	এবং,করা,পক্ষপাত,পক্ষপাতের,পক্ষপাতিত্ব
অচেতনভাবে	অনুসন্ধান,প্রত্যাশাকে
অচেনা	জায়গায়,লোকটার,ছিল,কিছু,ব্যক্তিদের
অজগর	বাস,সাপ
অজনপ্রিয়	ছিল,এবং,হয়
অজস্র	হ্রদ,স্বপ্ন,পর্যটক,পরিমাণে,ভাষা
অজাচার	নিষিদ্ধ,ধর্ষণ
অজানা	উত্স,অন্বেষণ,ভয়,থাকে,বা
অজানাকে	আলিঙ্গন,মোকাবেলা,ভয়,লালন,অন্বেষণ
অজানাগুলির	একটির,সমাধান
অজানাতে	যাওয়ার,আরও,পালিয়ে,যাত্রা
অজানার	মুখোমুখি,রোমাঞ্চ,দিকে,গণনা,মোহ
অজানায়	রওনা,পা,আরও,যাত্রা
অজান্তে	একটি,বনের,এবং,বিরুদ্ধে
অজান্তেই	প্রশিক্ষন,তাকে,তাদের,একটি,এক
অজিত	কুমার,দত্ত,দত্তের
অজুহাত	তৈরি,দেয়,আপনাকে,ছিল,হিসাবে
